排名,币种,市值,价格,流通数,24小时成交量,24小时涨跌
1,Bitcoin,435784941245,26378.895213,16520212.0,23510935998.0,-2.0
2,Ethereum,195886009073,2082.2803056,94072834.0,10013371830.0,-7.45
3,Bitcoin Cash,72974968796.0,4417.0969293,16521025.0,9074330892.0,9.5
4,Ripple,55549394749.0,1.4487174999,38343841883.0,7413919425.0,35.42
5,Litecoin,16293731245.0,309.92948217,52572382.0,1370197580.4,-0.99
6,IOTA,15554997039.0,5.596268238,2779530283.0,156967215.57,-3.75
7,NEM,14605444585.0,1.6228271763,8999999999.0,77537837.52,-6.01
8,Dash,14485316914.0,1929.4712811,7507402.0,450215295.75,2.59
9,NEO,11745473949.0,234.90947898,50000000.0,488605106.88,0.99
10,Ethereum Classic,8878974840.0,93.68155962,94778256.0,787064751.0,-1.92
11,Monero,8821604565.0,589.93078221,14953626.0,1039707672.3,8.04
12,BitConnect,5032977449.0,774.8187084,6495684.0,39850274.97,0.3
13,OmiseGo,5000986689.0,50.868515214,98312024.0,307807412.22,-2.16
14,Qtum,4258444717.0,72.1770291,59000000.0,155985133.59,-3.38
15,Stratis,3550659626.0,36.042475293,98513201.0,76591734.12,0.56
16,Zcash,3014472723.0,1494.2503917,2017381.0,179864916.66,-10.6
17,Waves,2880065341.0,28.800653409,100000000.0,20299581.225,-3.08
18,EOS,2575836109.0,8.602278597,299436490.0,150562362.06,-4.15
19,TenX,2495244883.0,23.84113941,104661310.0,106585876.98,-3.63
20,BitShares,2214764025.0,0.8524191753,2598210000.0,134605861.83,2.57
21,Tether,2131508796.0,6.67136151,319501318.0,1577234320.2,-0.03
22,Lisk,2120749863.0,19.062317835,111253515.0,105931599.84,-2.02
23,Steem,1999031910.0,8.332039485,239921080.0,15317147.538,-2.73
24,Iconomi,1804425330.0,20.76430455,86900350.0,9834544.962,-6.86
25,Veritaseum,1649957952.0,820.4115645,2011134.0,2466185.0796,-4.02
26,Binance Coin,1649924377.0,16.499243772,100000000.0,362806668.18,-3.49
27,Augur,1569696808.0,142.69970979,11000000.0,17492519.088,-4.15
28,Golem,1529064004.0,1.8355405365,833032000.0,26488163.493,-3.44
29,MaidSafeCoin,1431415844.0,3.162983571,452552412.0,24265087.011,-0.4
30,Bytecoin,1423472302.0,0.0077677754,183253534612,10078599.663,-1.7
31,Stellar Lumens,1397642103.0,0.1254106696,11144523093.0,85583714.04,8.76
32,Factom,1333201622.0,152.45123751,8745102.0,27779194.872,-8.73
33,Siacoin,1256881755.0,0.0436522781,28793039220.0,30784938.723,-4.18
34,Dogecoin,1253577073.0,0.0113183949,110755728717,23838474.33,1.32
35,Basic Attention Token,1237569874.0,1.2375698742,1000000000.0,15316614.522,-3.93
36,Byteball,1207612582.0,2294.4140109,526327.0,3794354.3484,-0.06
37,0x,1194005810.0,2.3880116205,500000000.0,63260804.079,-0.95
38,Gnosis,1142732326.0,1034.5307544,1104590.0,9108377.289,-8.41
39,Metal,1136144418.0,58.864554738,19300994.0,14184954.927,0.45
40,Status,1130813222.0,0.3258373447,3470483788.0,40874065.452,-4.71
41,Civic,1106268045.0,3.253729545,340000000.0,32655358.494,-4.37
42,Populous,1102483693.0,26.72542224,41252246.0,2640108.2004,5.08
43,Ark,1100267552.0,11.335851153,97060868.0,17159517.342,-1.66
44,DigixDAO,1023573278.0,511.78663899,2000000.0,2357636.3712,-3.42
45,Decred,979923371.0,175.21301952,5592754.0,6833198.493,1.34
46,MCAP,956891506.0,12.13011162,78885631.0,2505654.9144,-0.97
47,GameCredits,908053020.0,14.20754148,63913452.0,33668222.148,6.97
48,Komodo,856329129.0,8.483082894,100945510.0,1094575.0068,-2.17
49,Ardor,852378362.0,0.8532320247,998999495.0,7115896.854,-4.33
50,Bytom,798111115.0,1.1843548893,673878347.0,136204909.83,-5.96
51,DigiByte,775302697.0,0.0886845346,8742253657.0,41099664.474,4.24
52,FunFair,744428030.0,0.1938885676,3839463249.0,4853490.4539,-10.71
53,Monaco,737191458.0,75.11794488,9813786.0,35476745.436,-11.41
54,Bancor,714874612.0,17.533094931,40772871.0,22215240.729,-8.28
55,Nxt,708155764.0,0.7088646411,998999983.0,42540939.738,1.25
56,PIVX,694792324.0,12.837623733,54121568.0,5316128.3538,1.26
57,district0x,651112358.0,1.0851872625,600000000.0,44442874.08,-20.57
58,Lykke,613006719.0,2.29796523,266760659.0,3454783.1802,-3.16
59,MobileGo,597528323.0,6.0954310593,98028887.0,2254431.1482,-8.94
60,SingularDTV,566570690.0,0.9442844829,600000000.0,4550677.4016,0.43
61,Aragon,563180792.0,16.758755937,33605167.0,2958565.2723,-5.58
62,ICO,544601103.0,5.4460110276,100000000.0,40215057.795,-6.47
63,Nexus,481837403.0,9.288803205,51872926.0,1034630.6949,-5.94
64,Gas,476177516.0,162.66715542,2927312.0,8818882.974,0.28
65,Metaverse ETP,472010773.0,20.885432436,22600000.0,4411900.0233,9.8
66,Storj,471275235.0,6.1026667515,77224475.0,22766046.138,-9.15
67,Pillar,469489554.0,0.8383742037,560000000.0,762699.2571,-5.58
68,Bitquence,452440736.0,6.3932870628,70768093.0,6783428.124,-0.86
69,BitcoinDark,452209903.0,350.85978081,1288862.0,679588.7373,-2.5
70,Stox,448940348.0,15.166903653,29600000.0,8679366.036,-5.28
71,Cofound.it,425791170.0,1.3101266772,325000000.0,3278907.8883,-5.31
72,DECENT,418982871.0,8.166338136,51306089.0,12970411.344,1.03
73,AdEx,395092404.0,7.419049704,53253775.0,55119517.695,-12.79
74,Particl,389426524.0,50.719937004,7677977.0,5371468.74,3.12
75,Edgeless,388213197.0,4.7316363336,82046288.0,9032755.644,-14.99
