排名,币种,市值,价格,流通数,24小时成交量,24小时涨跌
1,Bitcoin,443103052597,26821.71212,16520312.0,24401704512.0,-0.1
2,Ethereum,197315536748,2095.1965976,94175190.0,9996599064.0,-6.18
3,Bitcoin Cash,73311061319.0,4437.1448176,16522125.0,9360196832.0,10.46
4,Ripple,59462090564.0,1.550759852,38343841883.0,9618395832.0,40.97
5,Litecoin,16327818843.0,310.56975304,52573757.0,1372186092.0,-0.91
6,IOTA,15973692003.0,5.7469033888,2779530283.0,169886946.16,-1.86
7,NEM,14724619213.0,1.6360688016,8999999999.0,70739196.48,-5.12
8,Dash,14334706413.0,1909.3666128,7507572.0,460259873.68,2.18
9,NEO,11669328792.0,233.38657584,50000000.0,488521836.48,-2.15
10,Ethereum Classic,8977783606.0,94.72138592,94780957.0,795885924.0,-1.56
11,Monero,8811077119.0,589.226776,14953626.0,1062427250.4,12.59
12,BitConnect,5120405934.0,788.2165808,6496192.0,40490533.968,1.77
13,OmiseGo,4968988294.0,50.54303728,98312024.0,303648687.2,-2.95
14,Qtum,4328348088.0,73.361832,59000000.0,157863868.08,-2.17
15,Stratis,3524509318.0,35.776986288,98513309.0,81157776.0,-0.09
16,Zcash,3065742031.0,1519.2029368,2017994.0,180474770.96,-8.9
17,Waves,3027858028.0,30.27858028,100000000.0,20535582.608,1.77
18,EOS,2567062486.0,8.572939752,299437831.0,151930288.48,-4.13
19,TenX,2465256538.0,23.554611896,104661310.0,107627338.0,-6.03
20,BitShares,2298999211.0,0.884839644,2598210000.0,151379241.84,5.59
21,Tether,2139396666.0,6.696049576,319501318.0,1634809456.8,0.37
22,Lisk,2132505109.0,19.16736112,111257105.0,101515850.96,0.7
23,Steem,1963280899.0,8.183009288,239921627.0,15343750.432,-2.32
24,Iconomi,1879099842.0,21.623616536,86900350.0,10773394.92,-1.48
25,Binance Coin,1687915161.0,16.879151608,100000000.0,380053602.64,-3.99
26,Veritaseum,1660453830.0,825.6304488,2011134.0,2262756.088,-1.29
27,Augur,1589369764.0,144.4881604,11000000.0,17858375.48,-3.43
28,Golem,1549377600.0,1.8599256688,833032000.0,26471960.752,-1.63
29,Stellar Lumens,1489868727.0,0.1336484666,11147667944.0,101364596.32,11.77
30,Bytecoin,1453116445.0,0.0079295412,183253534612,10595420.848,-0.92
31,MaidSafeCoin,1433549645.0,3.1676986064,452552412.0,24595870.16,-0.72
32,Factom,1343359136.0,153.61274648,8745102.0,28945407.224,-7.63
33,Siacoin,1274154042.0,0.0442491118,28795019594.0,31792392.688,-3.67
